,Description,House_Type,Location,Price
73,4 BEDROOM HOUSE FOR RENT,4 Bedroom Semi Detached Duplex,Ikota Lekki Lagos," ₦ 4,300,000/year "
74,4 BEDROOM HOUSE FOR RENT,Suitable For Commercial 4 Bed Semi Detached Duplex + Bq,Chevron Lekki Lagos," ₦ 6,000,000/year "
75,4 BEDROOM HOUSE FOR RENT,Beautiful 4 Bedroom Semi Detached Duplex,Orchid Chevron Lekki Lagos," ₦ 4,000,000/year "
76,3 BEDROOM HOUSE FOR RENT,3 Bedroom Apartment,Oniru Victoria Island Lagos," ₦ 9,000,000/year "
77,4 BEDROOM HOUSE FOR RENT,Luxury 4 Bedroom Terrace Duplex,Old Ikoyi Ikoyi Lagos," ₦ 18,000,000/year "
78,4 BEDROOM HOUSE FOR RENT,Serviced 4 Bedroom Terraced Duplex,Orchid Chevron Lekki Lagos," ₦ 4,000,000/year "
79,4 BEDROOM FLAT / APARTMENT FOR RENT,Luxury 4 Bedroom Apartment,Old Ikoyi Ikoyi Lagos," ₦ 16,000,000/year "
80,4 BEDROOM HOUSE FOR RENT,4 Bedroom Terrace Duplex,Close To Coza Guzape Abuja," ₦ 4,500,000/year "
81,2 BEDROOM HOUSE FOR RENT,Serviced 2 Bedroom Flat With Bq,Wuse 2 Abuja," ₦ 7,000,000/year "
82,4 BEDROOM HOUSE FOR RENT,4 Bedroom Semi Detached Duplex,Old Ikoyi Lagos," ₦ 20,000,000/year "
83,2 BEDROOM FLAT / APARTMENT FOR RENT,2 Bedroom Flat,"Kolapo Ishola Gra, Akobo Ibadan Oyo"," ₦ 1,200,000/year "
84,4 BEDROOM HOUSE FOR RENT,Fully Serviced 4 Bedroom Terrace Duplex,Orchid Chevron Lekki Lagos," ₦ 4,000,000/year "
85,FLAT / APARTMENT FOR RENT,Mini Flat,Iwaya Onike Bariga Lagos," ₦ 750,000/year "
86,3 BEDROOM HOUSE FOR RENT,3 Bedroom Flat,Gilmore Jahi Abuja," ₦ 6,000,000/year "
87,5 BEDROOM HOUSE FOR RENT,5 Bedroom Fully Detached Duplex,Chevron Lekki Lagos," ₦ 10,000,000/year "
88,3 BEDROOM HOUSE FOR RENT,3 Bedroom Bungalow,Abuja Diplomatic Zone Asokoro Abuja," ₦ 8,500,000/year "
89,4 BEDROOM HOUSE FOR RENT,4 Bedroom Terraced Duplex,Banana Island Ikoyi Lagos," ₦ 22,000,000/year "
90,4 BEDROOM HOUSE FOR RENT,Luxury 4 Bedroom Terrace Duplex,Old Ikoyi Ikoyi Lagos," ₦ 13,000,000/year "
91,4 BEDROOM HOUSE FOR RENT,Exotic 4 Bedroom Terraced Duplex + Bq,"Orchid, Chevron Lekki Lagos"," ₦ 3,500,000/year "
92,4 BEDROOM HOUSE FOR RENT,4 Bedroom Terrace Duplex With Bq,Life Camp Abuja," ₦ 7,000,000 "
93,4 BEDROOM HOUSE FOR RENT,Luxury 4 Bedroom Detached Duplex,Old Ikoyi Lagos," ₦ 17,000,000/year "
94,3 BEDROOM FLAT / APARTMENT FOR RENT,Luxury 4 Bedroom Apartment +bq,Old Ikoyi Old Ikoyi Ikoyi Lagos," ₦ 16,000,000/year "
95,CO WORKING SPACE FOR RENT,Office Space,"Gastab, New Garage, Ibadan Oyo"," ₦ 1,000,000/year "
96,6 BEDROOM HOUSE FOR RENT,6 Bedroom Duplex,Osapa London Lekki Lagos," ₦ 9,500,000/year "
97,4 BEDROOM HOUSE FOR RENT,Fully Serviced 4 Bedroom Semi Detached Duplex With Bq,Orchid Chevron Lekki Lagos," ₦ 5,000,000/year "
98,4 BEDROOM HOUSE FOR RENT,Serviced 4 Bedroom Semi Detached Duplex + Bq,Igbo Efon Lekki Lagos," ₦ 5,500,000/year "
99,4 BEDROOM HOUSE FOR RENT,4 Bedroom Terraced Duplex,Lekki Lagos," ₦ 12,000,000/year "
100,4 BEDROOM HOUSE FOR RENT,4 Bedroom Semi Detached Duplex,Chevron Lekki Lagos," ₦ 7,000,000/year "
101,4 BEDROOM HOUSE FOR RENT,Exotic 4 Bedroom Maisonette,"Admiralty Way, Phase 1 Lekki Lagos"," ₦ 10,000,000/year "
102,4 BEDROOM HOUSE FOR RENT,Exotic 4 Bedroom Detached Duplex + Bq L,Osapa London Lekki Lagos," ₦ 5,500,000/year "
103,5 BEDROOM HOUSE FOR RENT,5 Bedroom Fully Detached Duplex With Bq,Orchid Chevron Lekki Lagos," ₦ 8,000,000 "
104,4 BEDROOM HOUSE FOR RENT,Beautiful 4 Bedroom Semi Detached Duplex,Orchid Chevron Lekki Lagos," ₦ 6,000,000/year "
105,4 BEDROOM HOUSE FOR RENT,4 Bedroom Terraced Duplex,"Phase 1, Lekki Lagos"," ₦ 10,000,000/year "
106,4 BEDROOM HOUSE FOR RENT,4 Bedroom Semi Detached Duplex,Chevron Lekki Lagos," ₦ 6,500,000/year "
107,4 BEDROOM HOUSE FOR RENT,4 Bedroom Fully Detached Duplex,Chevron Lekki Lagos," ₦ 8,000,000/year "
108,4 BEDROOM HOUSE FOR RENT,4 Bedroom Semi Detached Duplex,Idado Lekki Lagos," ₦ 5,500,000/year "
109,5 BEDROOM HOUSE FOR RENT,5 Bedroom Detached Duplex,"Lekki Right, Lekki Lagos"," ₦ 20,000,000/year "
110,3 BEDROOM HOUSE FOR RENT,3 Bedroom Apartment,Lekki Lagos," ₦ 8,500,000/year "
111,4 BEDROOM HOUSE FOR RENT,4 Bedroom Terrace Duplex With Bq,Ikate Lekki Lagos," ₦ 8,500,000/year "
112,5 BEDROOM HOUSE FOR RENT,5 Bedroom Fully Detached Duplex,Idado Lekki Lagos," ₦ 5,500,000/year "
113,3 BEDROOM HOUSE FOR RENT,3 Bedroom Penthouse,Old Ikoyi Ikoyi Lagos," ₦ 16,000,000/year "
114,4 BEDROOM HOUSE FOR RENT,4 Bedroom Detached Duplex With Bq,Old Ikoyi Ikoyi Lagos," ₦ 16,000,000/year "
115,4 BEDROOM FLAT / APARTMENT FOR RENT,Luxury 4 Bedroom Penthouse + Bq,Banana Island Estate Banana Island Ikoyi Lagos," ₦ 25,000,000/year "
